Project Name,Description,Skills Required,Difficulty Level,Category,Resources,Student_ID,Branch,Interest_Area,Preferred_Domain,CGPA
Image Classifier,"Develop a fully interactive and engaging game experience. Focus on creating an intuitive user interface, realistic graphics, and smooth gameplay mechanics. You will work on implementing game physics, player interactions, and sound effects, using tools like Unity or Unreal Engine.","C++, Data Structures",Intermediate,Game Development,https://openweathermap.org/,STU00001,ME,Game Development,Game Development,7.5
Personal Portfolio Website,"Develop a fully interactive and engaging game experience. Focus on creating an intuitive user interface, realistic graphics, and smooth gameplay mechanics. You will work on implementing game physics, player interactions, and sound effects, using tools like Unity or Unreal Engine.","Python, pandas, sklearn",Intermediate,AI/ML,https://nltk.org/,STU00002,EEE,Game Development,Web Development,9.8
Library Management System,Work on a project related to the assigned area with detailed objectives.,"Python, pandas, sklearn",Intermediate,Machine Learning,https://kaggle.com/,STU00003,ME,Blockchain,Data Structures,8.93
Personal Portfolio Website,"Develop a fully interactive and engaging game experience. Focus on creating an intuitive user interface, realistic graphics, and smooth gameplay mechanics. You will work on implementing game physics, player interactions, and sound effects, using tools like Unity or Unreal Engine.","Python, NLP, NLTK",Advanced,System Design,https://freecodecamp.org/,STU00004,IT,Game Development,Game Development,8.39
Library Management System,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","Python, pandas, sklearn",Intermediate,Machine Learning,https://www.tensorflow.org/,STU00005,ECE,Web Development,System Design,6.62
E-commerce App,Work on a project related to the assigned area with detailed objectives.,"Python, pandas, sklearn",Advanced,Software Development,https://www.geeksforgeeks.org/,STU00006,IT,Blockchain,Deep Learning,6.62
Tic-Tac-Toe Game,"Work on building an intelligent system capable of solving real-world problems. You will implement machine learning algorithms, preprocess data, and evaluate model performance. Use libraries like TensorFlow or Scikit-learn to create predictive or classification models.","Django, Python, SQLite",Advanced,Software Development,https://www.tensorflow.org/,STU00007,ECE,AI/ML,AI/ML,6.23
Banking System Simulation,"Work on building an intelligent system capable of solving real-world problems. You will implement machine learning algorithms, preprocess data, and evaluate model performance. Use libraries like TensorFlow or Scikit-learn to create predictive or classification models.","Python, TensorFlow, Keras",Advanced,Game Development,https://kaggle.com/,STU00008,CSE,AI/ML,Web Development,9.46
Banking System Simulation,Work on a project related to the assigned area with detailed objectives.,"HTML, CSS, JavaScript",Advanced,Game Development,https://freecodecamp.org/,STU00009,CE,Data Science,Deep Learning,8.4
Tic-Tac-Toe Game,Work on a project related to the assigned area with detailed objectives.,"Django, Python, SQLite",Beginner,AI/ML,https://docs.djangoproject.com/,STU00010,IT,Data Science,System Design,8.83
E-commerce App,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","Python, pandas, sklearn",Intermediate,Web Development,https://docs.djangoproject.com/,STU00011,ME,Web Development,Data Structures,6.08
Chatbot,Work on a project related to the assigned area with detailed objectives.,"Java, MySQL",Beginner,Machine Learning,https://openweathermap.org/,STU00012,CSE,IoT,AI/ML,9.88
Tic-Tac-Toe Game,"Work on building an intelligent system capable of solving real-world problems. You will implement machine learning algorithms, preprocess data, and evaluate model performance. Use libraries like TensorFlow or Scikit-learn to create predictive or classification models.","Python, API, Flask",Beginner,Game Development,https://nltk.org/,STU00013,CE,AI/ML,Deep Learning,9.33
Image Classifier,Work on a project related to the assigned area with detailed objectives.,"Java, MySQL",Beginner,Game Development,https://www.tensorflow.org/,STU00014,ME,Data Science,AI/ML,6.85
Personal Portfolio Website,"Work on building an intelligent system capable of solving real-world problems. You will implement machine learning algorithms, preprocess data, and evaluate model performance. Use libraries like TensorFlow or Scikit-learn to create predictive or classification models.","C++, Data Structures",Advanced,Machine Learning,https://kaggle.com/,STU00015,EEE,AI/ML,Web Development,6.73
Chatbot,"Build a responsive and user-friendly web application. Work on both front-end and back-end components, integrating services like payment gateways or third-party APIs. Ensure the website is optimized for performance and accessibility using modern frameworks like React or Angular.","Python, TensorFlow, Keras",Beginner,System Design,https://openweathermap.org/,STU00016,ME,Web Development,System Design,6.73
