Student_ID,Branch,Skills,Interest_Area,Preferred_Domain,Complexity,CGPA,Recommended_Project
ST0001,Mechanical,Java,Embedded Systems,Academic,Advanced,9.49,
ST0002,Chemical,CSS,Blockchain,Academic,Intermediate,8.47,
ST0003,EEE,"C++, MATLAB, CSS",Blockchain,Industry,Intermediate,8.83,
ST0004,EEE,"MATLAB, SQL, HTML, R",Web Dev,Research,Beginner,6.67,
ST0005,IT,Python,Embedded Systems,Research,Advanced,8.78,
ST0006,CSE,"Python, MATLAB",Energy Systems,Industry,Intermediate,7.71,
ST0007,IT,"HTML, CAD, SQL, R",Embedded Systems,Academic,Intermediate,6.61,
ST0008,Civil,"C++, CAD, Python, SQL",Blockchain,Industry,Intermediate,7.41,
ST0009,Mechanical,"JavaScript, R, SQL",Embedded Systems,Research,Intermediate,7.11,
ST0010,Biotech,"JavaScript, HTML, R, CSS",Robotics,Academic,Intermediate,6.29,
ST0011,Civil,HTML,IoT,Industry,Intermediate,9.14,
ST0012,IT,"SQL, HTML, Python, JavaScript",Energy Systems,Research,Beginner,9.61,
ST0013,CSE,"MATLAB, R, HTML, Java",Data Science,Research,Intermediate,8.03,
ST0014,Chemical,"R, JavaScript, HTML, Java",Blockchain,Research,Intermediate,6.89,
ST0015,ECE,"JavaScript, HTML",Robotics,Research,Intermediate,8.2,
ST0016,ECE,JavaScript,Data Science,Academic,Intermediate,6.5,
ST0017,ECE,"MATLAB, HTML, C++",Data Science,Academic,Beginner,8.24,
ST0018,Biotech,R,AI,Research,Intermediate,6.52,
ST0019,CSE,"CAD, SQL, C++",Embedded Systems,Industry,Advanced,9.86,
ST0020,Biotech,Python,Robotics,Academic,Advanced,6.57,
ST0021,ECE,"R, MATLAB, C++",Energy Systems,Academic,Intermediate,7.75,
ST0022,CSE,Java,Robotics,Research,Intermediate,6.66,
ST0023,AI,"Java, Python, HTML",AI,Academic,Advanced,8.31,
ST0024,Civil,"Java, R",IoT,Industry,Advanced,8.47,
ST0025,CSE,"Java, HTML",Embedded Systems,Research,Beginner,7.68,
ST0026,Civil,"MATLAB, Java, SQL, JavaScript",Data Science,Academic,Advanced,9.19,
ST0027,Civil,"R, CAD, CSS, JavaScript",IoT,Academic,Intermediate,8.65,
ST0028,IT,"SQL, MATLAB, R",Energy Systems,Research,Beginner,8.42,
ST0029,AI,"Python, C++, SQL, CSS",AI,Research,Intermediate,6.61,
ST0030,Biotech,Java,Embedded Systems,Academic,Advanced,9.22,
ST0031,Mechanical,"CAD, Java",IoT,Academic,Beginner,8.47,
ST0032,EEE,"CAD, CSS, MATLAB, C++",Robotics,Research,Intermediate,8.82,
ST0033,Biotech,"SQL, Java, CAD, MATLAB",AI,Academic,Beginner,6.06,
ST0034,Chemical,MATLAB,Embedded Systems,Industry,Intermediate,8.0,
ST0035,IT,"JavaScript, Python",Data Science,Academic,Beginner,6.62,
ST0036,Chemical,"MATLAB, Java, JavaScript, SQL",Data Science,Academic,Intermediate,7.12,
ST0037,AI,"R, HTML",Web Dev,Research,Beginner,8.88,
ST0038,Mechanical,MATLAB,Energy Systems,Research,Advanced,9.81,
ST0039,AI,"C++, Python",Web Dev,Academic,Advanced,8.76,
ST0040,IT,"Python, C++",Web Dev,Industry,Advanced,6.05,
ST0041,Biotech,"Python, Java",IoT,Industry,Intermediate,6.29,
ST0042,Chemical,"Python, CSS, JavaScript",IoT,Industry,Advanced,8.59,
ST0043,CSE,"CSS, R",Embedded Systems,Research,Advanced,8.03,
ST0044,AI,"CAD, Java",Data Science,Industry,Intermediate,9.58,
ST0045,IT,Python,Embedded Systems,Industry,Beginner,8.1,
ST0046,Biotech,"Python, HTML",Robotics,Industry,Intermediate,9.11,
ST0047,ECE,"Java, SQL",IoT,Research,Advanced,7.85,
ST0048,Biotech,"CSS, SQL, C++, Python",Blockchain,Industry,Intermediate,9.54,
ST0049,Biotech,C++,Web Dev,Academic,Beginner,7.51,
ST0050,EEE,"JavaScript, Python, HTML, R",AI,Industry,Advanced,8.81,
ST0051,IT,"C++, Python, JavaScript, R",Energy Systems,Academic,Advanced,7.81,
ST0052,EEE,"HTML, Java, SQL",Blockchain,Academic,Beginner,6.7,
ST0053,CSE,"SQL, CAD",Data Science,Industry,Advanced,9.47,
ST0054,AI,"C++, HTML, Python",AI,Academic,Intermediate,8.11,
ST0055,ECE,HTML,Energy Systems,Research,Advanced,8.2,
ST0056,AI,"JavaScript, SQL",Embedded Systems,Academic,Advanced,9.08,
ST0057,ECE,"R, CAD",Blockchain,Research,Beginner,9.81,
ST0058,Chemical,"JavaScript, SQL, MATLAB, Python",Blockchain,Research,Beginner,9.25,
ST0059,EEE,"C++, SQL, MATLAB",IoT,Academic,Advanced,8.64,
ST0060,Biotech,C++,Blockchain,Industry,Intermediate,7.54,
ST0061,Civil,"HTML, SQL, C++, Java",IoT,Industry,Intermediate,7.57,
ST0062,CSE,Java,Energy Systems,Research,Advanced,8.91,
ST0063,CSE,"R, CSS",Embedded Systems,Research,Intermediate,7.68,
ST0064,ECE,"Python, MATLAB",Robotics,Industry,Advanced,6.31,
ST0065,Mechanical,"CAD, MATLAB, CSS",Data Science,Academic,Intermediate,9.96,
ST0066,ECE,"C++, Python, CAD, JavaScript",IoT,Industry,Beginner,7.44,
ST0067,AI,C++,AI,Research,Beginner,8.86,
ST0068,Biotech,"Python, JavaScript, Java, MATLAB",IoT,Research,Beginner,7.52,
ST0069,Chemical,"CSS, MATLAB",IoT,Research,Intermediate,7.19,
ST0070,Civil,"HTML, MATLAB, SQL",IoT,Industry,Intermediate,9.26,
ST0071,ECE,"SQL, C++",Blockchain,Research,Beginner,6.85,
ST0072,ECE,"SQL, CAD",Web Dev,Research,Advanced,9.59,
ST0073,Biotech,"JavaScript, MATLAB, Java, CAD",Robotics,Research,Intermediate,6.53,
ST0074,EEE,HTML,AI,Industry,Intermediate,8.36,
ST0075,Biotech,"JavaScript, CAD",Embedded Systems,Industry,Advanced,7.6,
ST0076,EEE,"R, HTML, JavaScript",IoT,Research,Intermediate,8.52,
ST0077,Civil,"CSS, Python, R, Java",AI,Industry,Advanced,8.3,
ST0078,Chemical,"Java, CAD, C++, JavaScript",IoT,Industry,Beginner,7.78,
ST0079,Chemical,"SQL, Java, CAD, CSS",Web Dev,Research,Beginner,6.68,
ST0080,AI,"MATLAB, JavaScript, HTML",Blockchain,Academic,Advanced,8.8,
ST0081,IT,"R, C++, Python, JavaScript",AI,Industry,Beginner,8.66,
ST0082,IT,"C++, R, Python, CSS",Web Dev,Research,Beginner,9.25,
